time,swell_height,z,eastward_velocity,upward_velocity,northward_velocity,moles_of_oxygen_per_unit_mass,density,electrical_conductivity,pressure,practical_salinity,temperature,flubsct,cdomflo,mass_concentration_of_chlorophyll_a,downwelling_photosynthetic_photon_flux
2020-07-21T09:09:00Z,0.43,-409.0,0.2319593971,-0.0160916559,-0.0405807121,171.9172866616,1029.3729972962,35.6439836735,412.143877551,35.1033943095,7.0850571429,0.0016520194,0.7905,0.0,0.3796398503
2020-07-21T15:09:00Z,0.38,-235.0,0.0929886644,0.0206473784,0.0397465155,130.6170770891,1028.0576946089,40.6030142857,236.8463265306,35.513088265,11.9716571429,9.294743E-4,0.7378,0.0106,-0.4593431287
2020-07-21T21:09:00Z,0.43,-408.0,0.1032412435,0.0177179589,-0.2114209926,172.3014213875,1029.3714536425,35.6337020833,411.58625,35.1027215027,7.0748791667,0.0017423912,0.8959,0.0318,-1.2983260577
2020-07-22T03:09:00Z,0.47,-176.0,0.0312008706,0.0746726987,0.0247685388,150.4353104063,1027.6448865829,41.655175,177.5933333333,35.5867222704,12.996375,9.069365E-4,0.6324,0.0,-1.0885803379
2020-07-22T09:09:00Z,0.61,-407.0,-0.2399595784,0.1271527017,-0.205745626,151.7355803228,1029.2379473458,36.7599326531,410.6934693878,35.1649504665,8.2235081633,0.0023297289,0.9486,0.0106,-0.4593431287
2020-07-22T15:09:00Z,0.63,-187.0,-0.0969668649,-0.0535946382,-0.0845401994,151.0900384544,1027.6891036989,41.7277591837,188.6693877551,35.5957565108,13.0554938776,8.617602E-4,0.8432,0.0212,-1.0885803379
2020-07-22T21:09:00Z,0.53,-409.0,-0.2207262785,0.0520495633,-0.2332003347,151.9600841265,1029.2480155357,36.7460521739,412.4530434783,35.1645176975,8.208273913,0.0016972686,0.8432,0.0,-0.4593431287
2020-07-23T03:09:00Z,0.54,-189.0,-0.0321566557,-0.0425937479,-0.1076937011,147.9741482474,1027.7121750531,41.6350836735,190.6820408163,35.5902906058,12.9661510204,8.165823E-4,0.8432,-0.0106,0.5893855701
2020-07-23T09:09:00Z,0.50,-407.0,-0.1356722657,-0.0449298679,-0.1264192898,161.9604060618,1029.3056175995,36.1968208333,410.8329166667,35.1347580563,7.6503125,0.002081223,0.8432,0.0,0.1698939306
2020-07-23T15:09:00Z,0.41,-210.0,-0.2427530788,-0.0235946961,-0.1653424708,147.9665902521,1027.8507472746,41.0392375,212.00625,35.5078086699,12.4358916667,0.0017652379,0.7905,0.0106,0.1698939306
2020-07-23T21:09:00Z,0.50,-410.0,-0.2428080171,-0.0057203374,-0.0588843147,165.0555890281,1029.3282064007,36.1255826087,413.7343478261,35.1319539853,7.5751391304,0.0044077285,0.8959,0.0,-0.2495974089
2020-07-24T03:09:00Z,0.53,-236.0,-0.2964965153,0.0435008586,0.1079191341,134.8800515191,1028.0984321362,40.1372,237.745,35.4555521776,11.5520208333,0.0016748489,0.7905,-0.0318,0.5893855701
2020-07-24T09:09:00Z,0.43,-409.0,-0.4936657537,0.1763364708,0.0014515238,151.087660983,1029.2332966324,36.9084083333,412.6508333333,35.1776847956,8.3682875,0.0023523132,0.8432,0.0053,0.5893856201
2020-07-24T15:09:00Z,0.50,-232.0,-0.3002696245,0.0693102353,-0.0097917889,136.2039056608,1028.0445919045,40.5848636364,233.4618181818,35.5117461318,11.9559863636,0.0012005254,0.8432,0.0,-0.8788345682
2020-07-24T21:09:00Z,0.41,-407.0,-0.3688483178,-0.0272549874,-0.0056283123,152.5325823471,1029.2379772871,36.776625,411.0010416667,35.1665339619,8.2396020833,0.0014488126,0.7905,-0.0212,1.4283684491
2020-07-25T03:09:00Z,0.35,-233.0,-0.4256767704,-0.0672415721,0.2279883566,135.3769848586,1028.022802967,40.9637102564,234.5369230769,35.5625984849,12.2903846154,0.001019835,0.7378,0.0106,-0.2495974089
